ID;Ano Nascimento;Escolaridade;Estado Civil;Salario Anual;Filhos em Casa;Adolescentes em Casa;Data Cadastro;Ano Cadastro;Mes Cadastro;Dias Desde Ultima Compra;Gasto com Eletronicos;Gasto com Brinquedos;Gasto com Moveis;Gasto com Utilidades;Gasto com Alimentos;Gasto com Vestuario;Numero de Compras com Desconto;Numero de Compras na Web;Numero de Compras via Catalogo;Numero de Compras na Loja;Numero Visitas WebSite Mes;Compra na Campanha 1;Compra na Campanha 2;Compra na Campanha 3;Compra na Campanha 4;Compra na Campanha 5;Comprou;Pais;Total Gasto
9264;1986;Curso Superior;Solteiro;79529.0;0;0;2021-03-04;2021;3;1;423;42;706;73;197;197;1;4;8;9;2;0;0;0;0;0;Não;Chile;1638.0
5824;1972;Doutorado;Casado;34578.0;2;1;2018-11-04;2018;11;1;7;0;1;0;0;0;1;1;0;2;6;0;0;0;0;0;Não;Brasil;8.0
5794;1974;Doutorado;Solteiro;46374.0;0;1;2021-02-03;2021;2;1;408;0;21;0;0;17;3;7;1;7;8;0;1;0;1;0;Sim;Argentina;446.0
3068;1990;Curso Superior;Solteiro;18351.0;0;0;2023-07-10;2023;7;1;1;12;9;0;14;7;1;2;0;3;7;0;0;0;0;0;Não;Estados Unidos;43.0
7962;1987;Doutorado;Solteiro;95169.0;0;0;2020-09-10;2020;9;1;1285;21;449;106;20;20;1;4;3;4;1;0;0;1;1;0;Sim;Estados Unidos;1901.0
2681;1984;Segundo Grau;Solteiro;65370.0;0;0;2020-01-08;2020;1;1;71;22;112;138;89;29;1;2;3;13;1;0;0;0;0;0;Não;Estados Unidos;461.0
10141;1960;Mestrado;Divorciado;39228.0;0;0;2020-10-05;2020;10;1;7;1;6;0;3;3;1;0;0;3;4;0;0;0;0;0;Não;Espanha;20.0
3725;1961;Doutorado;Solteiro;84865.0;0;0;2020-09-05;2020;9;1;1248;16;349;43;16;16;1;2;4;9;4;0;1;1;1;1;Sim;Estados Unidos;1688.0
3767;1968;Curso Superior;Solteiro;61314.0;0;1;2023-04-04;2023;4;1;378;0;189;97;172;172;2;5;5;12;3;0;0;0;0;0;Não;Estados Unidos;1008.0
5585;1972;Curso Superior;Solteiro;21359.0;1;0;2022-05-04;2022;5;1;12;2;17;6;1;10;2;2;0;3;8;0;0;0;0;0;Sim;Chile;48.0
7030;1955;Doutorado;Solteiro;66465.0;0;1;2023-02-03;2023;2;1;1200;0;204;38;29;14;3;11;9;12;6;0;0;0;1;0;Não;Estados Unidos;1485.0
1524;1983;Segundo Grau;Solteiro;81698.0;0;0;2020-01-03;2020;1;1;709;45;115;30;160;45;1;8;2;5;5;0;0;0;1;0;Sim;Estados Unidos;1104.0
3657;1986;Curso Superior;Solteiro;39146.0;1;0;2023-02-02;2023;2;1;94;1;33;13;12;12;3;4;0;4;8;0;0;0;0;0;Não;Estados Unidos;165.0
5740;1970;Segundo Grau;Divorciado;25959.0;1;1;2023-02-02;2023;2;1;4;2;12;7;5;26;2;1;2;2;6;0;0;0;0;0;Sim;Estados Unidos;56.0
9595;1961;Curso Superior;Casado;64260.0;0;0;2020-11-01;2020;11;1;539;169;816;20;0;30;1;4;5;4;3;0;0;0;0;0;Sim;Estados Unidos;1574.0
3158;1973;Curso Superior;Solteiro;32300.0;1;0;2020-03-01;2020;3;1;13;3;6;6;5;6;1;1;0;3;8;0;0;0;0;0;Não;Estados Unidos;39.0
5114;1965;Mestrado;Solteiro;74806.0;0;1;2022-04-12;2022;4;1;670;9;249;0;28;9;2;5;4;5;4;0;0;0;0;0;Não;Brasil;965.0
340;1970;Curso Superior;Divorciado;72967.0;0;1;2022-03-12;2022;3;1;158;35;179;0;0;125;2;7;2;8;5;1;0;0;0;0;Sim;Alemanha;497.0
8805;1960;Curso Superior;Solteiro;48904.0;0;1;2019-02-12;2019;2;1;283;10;38;0;13;27;4;7;2;4;8;0;0;0;0;0;Não;Portugal;371.0
1241;1984;Segundo Grau;Solteiro;14796.0;1;0;2022-02-09;2022;2;1;13;3;8;7;4;16;2;1;0;3;9;0;0;0;0;0;Sim;Alemanha;51.0
1402;1954;Mestrado;Solteiro;66991.0;0;0;2019-11-09;2019;11;1;496;36;460;189;60;12;3;4;8;6;3;0;0;0;0;0;Não;Alemanha;1253.0
7264;1978;Segundo Grau;Solteiro;52195.0;2;1;2018-04-05;2018;4;2;12;0;4;0;0;1;1;1;0;2;8;0;0;0;0;0;Não;Espanha;17.0
1619;1956;Curso Superior;Solteiro;90369.0;0;0;2021-03-04;2021;3;2;292;51;981;224;23;17;1;4;6;6;1;0;0;0;0;0;Sim;Estados Unidos;1588.0
6398;1974;Primeiro Grau;Solteiro;18393.0;1;0;2021-07-03;2021;7;2;7;10;13;16;0;4;2;3;0;3;8;0;0;0;0;0;Não;Estados Unidos;50.0
1857;1952;Curso Superior;Solteiro;47139.0;1;1;2018-06-03;2018;6;2;46;0;12;0;2;23;2;2;1;2;7;0;0;0;0;0;Sim;Estados Unidos;83.0
4877;1973;Mestrado;Solteiro;38576.0;0;1;2018-04-03;2018;4;2;34;0;7;0;0;0;1;1;0;3;7;0;0;0;0;0;Não;Argentina;41.0
3066;1975;Doutorado;Casado;61905.0;0;1;2018-04-02;2018;4;2;167;0;43;6;2;13;2;4;2;4;5;0;0;0;0;0;Não;Espanha;231.0
10286;1962;Curso Superior;Solteiro;83715.0;0;0;2018-03-02;2018;3;2;318;8;407;150;35;8;1;2;8;13;0;0;0;0;0;0;Não;Espanha;926.0
1992;1964;Curso Superior;Solteiro;60597.0;0;1;2018-01-01;2018;1;2;522;0;257;32;16;66;4;2;2;8;7;0;0;0;1;0;Sim;Estados Unidos;893.0
4246;1982;Mestrado;Solteiro;6560.0;0;0;2020-04-12;2020;4;2;67;11;26;4;3;262;0;1;0;1;17;0;0;0;0;0;Não;Estados Unidos;373.0
10623;1961;Mestrado;Casado;48330.0;0;1;2023-03-11;2023;3;2;28;0;4;0;0;0;1;1;0;3;5;0;0;0;0;0;Não;Estados Unidos;32.0
4867;1968;Doutorado;Solteiro;38236.0;1;1;2022-05-09;2022;5;2;58;0;18;2;0;10;4;3;0;4;7;0;0;0;0;0;Não;Estados Unidos;88.0
3112;1977;Mestrado;Solteiro;22701.0;1;0;2020-05-09;2020;5;2;2;4;9;0;4;5;1;1;0;3;5;0;0;0;0;0;Não;Estados Unidos;24.0
4865;1974;Mestrado;Divorciado;53367.0;1;1;2023-08-08;2023;8;2;229;7;140;10;3;11;7;5;1;8;7;0;0;0;0;0;Sim;Brasil;400.0
6287;1986;Curso Superior;Casado;34728.0;1;0;2023-02-07;2023;2;2;14;0;16;0;0;6;1;1;1;2;6;0;0;0;0;0;Sim;Estados Unidos;36.0
4405;1956;Mestrado;Solteiro;63915.0;0;2;2023-02-07;2023;2;2;622;7;115;30;0;15;2;6;3;12;5;0;0;0;0;0;Não;Brasil;789.0
5332;1960;Segundo Grau;Solteiro;82504.0;0;0;2023-03-07;2023;3;2;362;50;431;134;35;54;1;3;6;7;1;0;0;0;0;0;Não;Argentina;1066.0
1519;1972;Doutorado;Solteiro;38578.0;1;1;2023-04-06;2023;4;2;38;4;22;3;3;3;3;3;0;3;8;0;0;0;0;0;Sim;Estados Unidos;73.0
9080;1972;Doutorado;Solteiro;38578.0;1;1;2023-04-06;2023;4;2;38;4;22;3;3;3;3;3;0;3;8;0;0;0;0;0;Não;Estados Unidos;73.0
1772;1975;Doutorado;Solteiro;79174.0;0;0;2020-11-01;2020;11;2;1074;37;518;193;92;129;1;5;6;7;2;0;0;1;1;0;Sim;Chile;2043.0
5341;1962;Segundo Grau;Divorciado;81975.0;0;1;2020-05-01;2020;5;2;983;76;184;180;138;27;1;6;3;4;7;0;0;1;0;0;Não;Espanha;1588.0
5510;1977;Mestrado;Solteiro;43263.0;0;1;2022-04-11;2022;4;2;262;6;61;0;10;102;3;5;2;6;5;0;0;0;0;0;Não;Estados Unidos;441.0
3887;1970;Curso Superior;Solteiro;27242.0;1;0;2019-11-11;2019;11;2;3;17;26;20;1;39;2;2;0;3;9;0;0;0;0;0;Sim;Argentina;106.0
7022;1971;Curso Superior;Solteiro;76445.0;1;0;2022-03-09;2022;3;2;739;107;309;140;80;35;1;2;5;13;6;0;0;0;0;0;Não;Espanha;1410.0
9999;1965;Curso Superior;Casado;75276.0;0;0;2022-08-09;2022;8;2;610;105;125;137;42;21;1;9;4;9;5;0;0;0;0;0;Não;Estados Unidos;1040.0
10352;1963;Curso Superior;Divorciado;34213.0;1;1;2019-07-09;2019;7;2;50;4;28;6;3;26;3;3;1;2;9;0;0;0;0;0;Sim;Espanha;117.0
7919;1976;Doutorado;Casado;72335.0;0;0;2022-07-08;2022;7;2;1285;105;653;28;21;0;1;10;4;8;8;0;0;0;0;0;Sim;Estados Unidos;2092.0
4114;1964;Mestrado;Solteiro;79143.0;0;0;2019-11-08;2019;11;2;650;37;780;27;167;32;1;6;9;13;3;0;0;0;0;0;Não;Brasil;1693.0
7990;1947;Curso Superior;Solteiro;27469.0;0;0;2019-02-08;2019;2;2;9;1;2;3;2;0;1;0;0;3;6;0;0;0;0;0;Não;Chile;17.0
9888;1969;Curso Superior;Casado;68695.0;0;0;2021-04-06;2021;4;3;458;81;356;106;50;40;1;4;4;7;2;0;0;0;0;0;Não;Estados Unidos;1091.0
4399;1969;Curso Superior;Casado;68695.0;0;0;2021-04-06;2021;4;3;458;81;356;106;50;40;1;4;4;7;2;0;0;0;0;0;Não;Chile;1091.0
4452;1957;Curso Superior;Solteiro;50388.0;0;1;2021-03-05;2021;3;3;292;6;37;0;3;34;4;6;1;6;7;0;1;0;1;0;Sim;Alemanha;372.0
4785;1970;Doutorado;Casado;77622.0;0;2;2021-02-04;2021;2;3;520;7;154;19;0;14;2;6;3;11;3;0;0;0;0;0;Não;Espanha;714.0
8461;1962;Curso Superior;Divorciado;46102.0;2;1;2018-10-03;2018;10;3;14;0;1;0;0;1;1;1;0;2;7;0;0;0;0;0;Não;Estados Unidos;16.0
3878;1980;Segundo Grau;Solteiro;31859.0;1;0;2021-03-02;2021;3;3;3;4;7;15;8;11;1;1;0;3;7;0;0;0;0;0;Não;Estados Unidos;48.0
9612;1987;Segundo Grau;Solteiro;23830.0;0;0;2018-07-02;2018;7;3;1;8;6;4;8;16;1;1;0;3;7;0;0;0;0;0;Não;Estados Unidos;43.0
4098;1973;Curso Superior;Solteiro;24639.0;1;1;2021-03-01;2021;3;3;20;3;16;0;4;1;3;2;0;4;6;0;0;0;0;0;Não;Brasil;44.0
158;1945;Doutorado;Casado;71604.0;0;0;2023-02-11;2023;2;3;345;53;528;98;75;97;1;8;3;5;4;1;0;0;0;0;Sim;Estados Unidos;1196.0
3896;1984;Curso Superior;Solteiro;27255.0;1;0;2020-07-11;2020;7;3;22;1;11;0;1;2;1;1;0;3;7;0;0;0;0;0;Não;Estados Unidos;37.0
9970;1977;Curso Superior;Casado;55375.0;0;1;2023-02-10;2023;2;3;42;11;57;10;28;14;1;1;1;6;2;0;0;0;0;0;Não;Chile;162.0
4002;1960;Doutorado;Solteiro;77037.0;0;1;2023-07-10;2023;7;3;463;96;333;168;53;10;1;7;7;12;3;0;0;0;0;0;Não;Estados Unidos;1123.0
10914;1970;Curso Superior;Solteiro;24163.0;1;1;2020-04-10;2020;4;3;4;1;7;2;1;2;2;1;0;3;4;0;0;0;0;0;Não;Estados Unidos;17.0
7279;1969;Doutorado;Casado;69476.0;0;0;2023-02-09;2023;2;3;260;86;559;63;9;67;1;4;6;4;2;0;0;0;0;0;Não;Portugal;1044.0
10582;1979;Curso Superior;Solteiro;72063.0;0;1;2020-03-07;2020;3;3;180;32;348;76;32;90;2;5;2;12;2;0;0;0;0;0;Não;Alemanha;758.0
4470;1962;Mestrado;Solteiro;58646.0;0;1;2020-10-06;2020;10;3;62;1;44;6;5;22;1;2;1;4;4;0;0;0;0;0;Não;Estados Unidos;140.0
6183;1962;Mestrado;Solteiro;58646.0;0;1;2020-10-06;2020;10;3;62;1;44;6;5;22;1;2;1;4;4;0;0;0;0;0;Não;Alemanha;140.0
6379;1949;Mestrado;Divorciado;47570.0;1;1;2023-07-05;2023;7;3;67;1;20;0;2;31;3;2;2;2;7;0;0;0;0;0;Sim;Portugal;121.0
8601;1980;Curso Superior;Solteiro;80011.0;0;1;2023-07-04;2023;7;3;421;76;536;82;178;102;2;8;6;5;4;0;0;0;0;0;Não;Brasil;1395.0
4827;1956;Doutorado;Solteiro;54998.0;0;1;2020-10-03;2020;10;3;154;22;202;39;30;8;5;4;2;9;4;0;0;0;0;0;Sim;Estados Unidos;455.0
6715;1948;Doutorado;Solteiro;60200.0;0;1;2020-02-01;2020;2;3;502;19;132;0;6;26;6;6;2;11;6;0;0;0;0;0;Não;Estados Unidos;685.0
10676;1982;Curso Superior;Solteiro;63211.0;0;0;2019-02-11;2019;2;3;145;193;459;205;26;145;2;3;8;7;2;0;0;0;0;0;Sim;Estados Unidos;1173.0
1041;1973;Doutorado;Solteiro;48432.0;0;1;2022-04-10;2022;4;3;322;3;50;4;3;42;5;7;1;6;8;0;0;0;0;0;Sim;Espanha;424.0
492;1973;Doutorado;Casado;48432.0;0;1;2022-04-10;2022;4;3;322;3;50;4;3;42;5;7;1;6;8;0;0;0;0;0;Não;Chile;424.0
11133;1973;Doutorado;Casado;48432.0;0;1;2022-04-10;2022;4;3;322;3;50;4;3;42;5;7;1;6;8;0;0;0;0;0;Sim;Argentina;424.0
4491;1949;Mestrado;Solteiro;62845.0;1;1;2019-01-10;2019;1;3;1099;0;45;0;0;34;11;3;4;10;8;0;1;0;0;0;Não;Estados Unidos;1178.0
873;1949;Mestrado;Solteiro;62845.0;1;1;2019-01-10;2019;1;3;1099;0;45;0;0;34;11;3;4;10;8;0;1;0;0;0;Sim;Estados Unidos;1178.0
1631;1965;Doutorado;Casado;65220.0;0;0;2019-03-09;2019;3;3;890;63;292;0;25;12;4;8;4;7;6;0;0;0;0;0;Sim;Alemanha;1282.0
8278;1990;Doutorado;Solteiro;74214.0;0;0;2022-03-08;2022;3;3;863;83;547;86;99;33;1;8;2;5;5;0;0;0;0;0;Não;Estados Unidos;1711.0
6815;1980;Segundo Grau;Solteiro;96547.0;0;0;2021-04-05;2021;4;4;448;21;125;52;101;62;0;7;6;8;2;1;0;1;1;0;Sim;Estados Unidos;809.0
254;1955;Curso Superior;Casado;53863.0;0;1;2021-02-05;2021;2;4;399;4;30;6;4;30;3;7;1;7;7;0;1;0;0;0;Não;Estados Unidos;473.0
1349;1970;Curso Superior;Solteiro;50447.0;2;0;2021-04-04;2021;4;4;85;7;24;2;3;27;1;3;1;3;6;0;0;0;0;0;Não;Argentina;148.0
2534;1953;Curso Superior;Solteiro;37716.0;0;1;2021-04-04;2021;4;4;97;1;41;6;2;41;2;4;1;3;7;0;0;0;0;0;Não;Brasil;188.0
2130;1982;Curso Superior;Casado;45203.0;2;0;2021-04-03;2021;4;4;35;3;67;10;8;24;1;3;1;3;6;0;0;0;0;0;Sim;Espanha;147.0
2296;1975;Mestrado;Solteiro;37368.0;1;0;2023-01-12;2023;1;4;3;2;11;2;2;10;1;1;0;2;6;1;0;0;0;0;Não;Estados Unidos;30.0
3799;1955;Curso Superior;Solteiro;67225.0;0;1;2023-03-11;2023;3;4;315;35;322;46;7;143;3;7;2;11;5;0;0;0;0;0;Não;Portugal;868.0
11084;1976;Mestrado;Casado;65104.0;0;1;2023-02-11;2023;2;4;738;0;232;13;20;50;2;3;5;7;7;0;0;0;0;0;Sim;Chile;1053.0
5172;1976;Mestrado;Casado;65104.0;0;1;2023-02-11;2023;2;4;738;0;232;13;20;50;2;3;5;7;7;0;0;0;0;0;Não;Estados Unidos;1053.0
9504;1949;Mestrado;Solteiro;81698.0;0;0;2020-06-11;2020;6;4;179;28;520;111;123;47;1;3;8;13;1;0;0;0;0;0;Sim;Estados Unidos;1008.0
850;1968;Curso Superior;Solteiro;70566.0;0;1;2020-06-10;2020;6;4;381;28;215;84;28;21;2;6;5;9;3;0;0;0;0;0;Não;Estados Unidos;757.0
4477;1958;Curso Superior;Casado;69096.0;0;1;2023-03-09;2023;3;4;247;49;159;7;82;109;1;5;2;10;4;0;0;0;0;0;Não;Alemanha;653.0
1945;1962;Curso Superior;Solteiro;71434.0;0;1;2022-05-09;2022;5;4;711;36;217;172;96;168;3;7;4;7;4;0;1;0;1;0;Não;Estados Unidos;1400.0
7685;1978;Curso Superior;Solteiro;33039.0;1;0;2020-09-09;2020;9;4;30;8;12;8;8;12;1;2;0;4;5;0;0;0;0;0;Não;Estados Unidos;78.0
6310;1978;Curso Superior;Solteiro;33039.0;1;0;2020-09-09;2020;9;4;30;8;12;8;8;12;1;2;0;4;5;0;0;0;0;0;Não;Chile;78.0
10832;1958;Curso Superior;Casado;46610.0;0;0;2022-05-07;2022;5;4;288;10;30;4;10;125;1;6;1;6;6;0;0;0;0;0;Não;Estados Unidos;467.0
3025;1958;Curso Superior;Solteiro;49967.0;0;1;2020-08-07;2020;8;4;212;6;69;4;12;3;3;6;1;5;7;0;0;0;0;0;Não;Chile;306.0
2404;1976;Curso Superior;Solteiro;53359.0;1;1;2023-03-05;2023;3;4;173;4;30;3;6;41;4;5;1;4;7;0;0;0;0;0;Não;Portugal;257.0
8581;1971;Mestrado;Solteiro;49505.0;1;1;2020-05-03;2020;5;4;604;0;100;19;0;28;9;10;2;8;8;0;0;0;0;0;Não;Estados Unidos;751.0
8755;1946;Mestrado;Solteiro;68657.0;0;0;2022-05-02;2022;5;4;482;34;471;119;68;22;1;3;5;9;7;0;0;0;0;0;Não;Brasil;1196.0
10177;1954;Curso Superior;Divorciado;72071.0;0;1;2023-02-02;2023;2;4;531;69;300;150;138;150;3;5;4;8;2;0;0;0;0;0;Não;Estados Unidos;1338.0
2429;1954;Curso Superior;Divorciado;72071.0;0;1;2023-02-02;2023;2;4;531;69;300;150;138;150;3;5;4;8;2;0;0;0;0;0;Não;Chile;1338.0
8920;1967;Mestrado;Solteiro;59235.0;1;0;2020-03-01;2020;3;4;448;40;469;80;0;91;3;11;2;12;7;0;0;0;0;0;Não;Argentina;1128.0
8430;1957;Curso Superior;Casado;21994.0;0;1;2022-04-12;2022;4;4;9;0;6;3;1;3;1;0;0;3;5;0;0;0;0;0;Não;Brasil;22.0
8619;1957;Curso Superior;Casado;21994.0;0;1;2022-04-12;2022;4;4;9;0;6;3;1;3;1;0;0;3;5;0;0;0;0;0;Não;Estados Unidos;22.0
8996;1957;Doutorado;Solteiro;52290.85259969712;2;1;2022-04-11;2022;4;4;230;42;192;49;37;53;12;7;2;8;9;0;0;0;0;0;Não;Alemanha;603.0
7233;1972;Curso Superior;Solteiro;69209.0;0;0;2022-02-09;2022;2;4;496;32;849;229;48;128;2;5;3;6;4;0;0;0;1;0;Não;Chile;1782.0
6678;1989;Curso Superior;Casado;31928.0;1;0;2021-03-03;2021;3;5;33;4;24;4;2;5;2;3;0;4;7;0;0;0;0;0;Não;Argentina;72.0
830;1987;Doutorado;Solteiro;74004.0;0;0;2021-04-02;2021;4;5;784;48;560;42;176;48;1;4;6;4;3;0;0;1;1;0;Sim;Argentina;1658.0
6365;1987;Segundo Grau;Solteiro;30390.0;0;0;2020-02-09;2020;2;5;10;12;12;25;1;20;1;2;0;3;6;0;0;0;0;0;Não;Argentina;80.0
6770;1985;Curso Superior;Solteiro;21355.0;1;0;2022-05-08;2022;5;5;5;13;14;0;5;31;2;2;1;2;6;1;0;0;0;0;Sim;Portugal;68.0
2261;1969;Curso Superior;Solteiro;26304.0;1;0;2023-04-06;2023;4;5;4;1;5;2;0;4;1;1;0;2;7;0;0;0;0;0;Não;Alemanha;16.0
1031;1989;Segundo Grau;Solteiro;85710.0;0;0;2020-05-05;2020;5;5;600;20;350;29;30;33;1;6;9;10;2;0;0;1;0;0;Não;Argentina;1062.0
10089;1974;Curso Superior;Divorciado;102692.0;0;0;2020-05-04;2020;5;5;168;148;444;32;172;148;1;6;9;13;2;0;1;1;1;1;Sim;Espanha;1112.0
9256;1971;Curso Superior;Solteiro;58350.0;0;1;2020-04-01;2020;4;5;493;26;206;116;80;80;4;8;3;12;6;0;0;0;0;0;Não;Estados Unidos;1001.0
10641;1978;Curso Superior;Solteiro;7500.0;1;1;2022-08-12;2022;8;5;6;5;4;13;4;25;4;2;1;3;6;0;0;0;0;0;Não;Estados Unidos;57.0
624;1984;Mestrado;Solteiro;18890.0;0;0;2020-07-11;2020;7;5;6;4;1;7;2;15;1;0;1;2;6;1;0;0;0;0;Sim;Espanha;35.0
4211;1986;Primeiro Grau;Solteiro;20425.0;1;0;2022-09-10;2022;9;5;4;12;5;3;16;17;2;2;0;3;7;0;0;0;0;0;Não;Chile;57.0
1407;1986;Primeiro Grau;Solteiro;20425.0;1;0;2022-09-10;2022;9;5;4;12;5;3;16;17;2;2;0;3;7;0;0;0;0;0;Não;Alemanha;57.0
10356;1957;Doutorado;Divorciado;41437.0;1;1;2022-04-09;2022;4;5;29;0;2;0;0;1;1;1;0;3;7;0;0;0;0;0;Não;Estados Unidos;32.0
9323;1949;Mestrado;Casado;49912.0;0;1;2019-07-09;2019;7;5;520;8;223;32;49;42;4;10;5;7;8;1;0;0;0;0;Sim;Portugal;874.0
1146;1949;Mestrado;Casado;49912.0;0;1;2019-07-09;2019;7;5;520;8;223;32;49;42;4;10;5;7;8;1;0;0;0;0;Sim;Brasil;874.0
6343;1959;Curso Superior;Solteiro;79823.0;0;1;2021-08-03;2021;8;6;835;73;380;114;73;43;1;6;9;7;2;0;1;0;0;0;Não;Brasil;1518.0
8545;1954;Curso Superior;Divorciado;85683.0;0;0;2021-04-03;2021;4;6;1296;17;311;45;69;51;1;2;4;10;1;0;1;1;1;1;Sim;Estados Unidos;1789.0
